2023.06.22 11:01:49 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500': success | time=1ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios'': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references'': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table': success | time=6ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects'': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type'': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6019 'Remove SVN related properties'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6019 'Remove SVN related properties': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios'': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues'': success | time=10ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users'': success | time=8ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users'': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components'': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches'': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios'': success | time=6ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components''...
